Post ID,Comment ID,Comment,Label
101858671714061_111061344127127,111061344127127_111066944126567,"Sạc nhanh hỏng, mới mua 1 tháng mà phải thay 3 lần rồi :((",-1
101858671714061_111061344127127,111061344127127_111067144126547,"Vl luôn, còn nhớ năm 1972.",0
101858671714061_111061344127127,111061344127127_111067144126547,Khi đất nước đang trong những ngày tháng căng thẳng nhất của chiến tranh.,0
101858671714061_111061344127127,111061344127127_111067144126547,Mỹ liên tục đem máy bay đánh bom các tỉnh miền Bắc.,0
101858671714061_111061344127127,111061344127127_111067144126547,"Nhằm gây sức ép
Tôi và anh cùng là sinh viên ĐHBK.",0
101858671714061_111061344127127,111061344127127_111067144126547,Cùng đăng ký tham gia vào Nam để giải phóng đất nc.,0
101858671714061_111061344127127,111061344127127_111067144126547,Chỉ tiếc là không may.,0
101858671714061_111061344127127,111061344127127_111067144126547,Lúc quân Mỹ sắp rút khỏi VN thì anh lại bị dính đạn.,0
101858671714061_111061344127127,111061344127127_111067144126547,Trước lúc thoi thóp.,0
101858671714061_111061344127127,111061344127127_111067144126547,"Anh đưa tôi mảnh giấy, dặn kỹ tôi phải để 48 năm sau mới đc đọc.",0
101858671714061_111061344127127,111061344127127_111067144126547,"Tôi coi đây như di vật, cất vào chỗ trang trọng nhất trong nhà.",0
101858671714061_111061344127127,111061344127127_111067144126547,"Hôm nay là ngày giỗ anh, cũng là ngày tròn 48 năm lời hứa.",0
101858671714061_111061344127127,111061344127127_111067144126547,Tôi lặng lẽ lấy tờ giấy ra đọc.,0
101858671714061_111061344127127,111061344127127_111067144126547,"Anh ấy nhắn tôi rằng :"" all in Melakee""
Và rồi, tôi bật khóc...",0
101858671714061_111061344127127,111061344127127_111069667459628,"sạc không bị nóng máy, rất tuyệt vời",1
101858671714061_111061344127127,111061344127127_111070270792901,nói chung là ổn so với giá,1
101858671714061_111061344127127,111061344127127_111073144125947,máy này chơi liên quân dc k shop,0
101858671714061_111061344127127,111061344127127_111073540792574,"máy chơi LQ khá mượt, k giật lag, bắt wifi tốt",1
101858671714061_111061344127127,111061344127127_111074137459181,hết pin nhanh quá,-1
101858671714061_111061344127127,111061344127127_111074630792465,tầm giá này thì mua 1280 ok hơn.,-1
101858671714061_111061344127127,111061344127127_111074630792465,máy trâu pin khoẻ.,1
101858671714061_111061344127127,111061344127127_111074630792465,"con này thì pin yếu, đập cái là vỡ nát rồi.",-1
101858671714061_111061344127127,111061344127127_111155627451032,sẽ mua cho gia đình dùng,1
101858671714061_111061344127127,111061344127127_111156364117625,cáp sạc khá nhanh.,1
101858671714061_111061344127127,111061344127127_111156364117625,mình sạc từ 10% mà 30' đã full rồi.,1
101858671714061_111061344127127,111061344127127_111156364117625,tuy nhiên dây sạc ngắn quá nsx làm tiết kiệm thế :/,-1
101858671714061_111061344127127,111061344127127_111156624117599,cam trước chụp xinh lắm mng ạ hehe như dùng filter luôn,1
101858671714061_111061344127127,111061344127127_111157137450881,khá trâu.,1
101858671714061_111061344127127,111061344127127_111157137450881,mình vừa chơi game vừa rep tin nhắn vừa bật vinahey vẫn mượt.,1
101858671714061_111061344127127,111061344127127_111157137450881,"nhưng loa không hay lắm, ko rõ bass",-1
101858671714061_111061344127127,111061344127127_111157410784187,mới mua đã có lỗi màn hình rồi chán hẳn.,-1
101858671714061_111061344127127,111061344127127_111158017450793,sản xuất thêm nhiều loại như thế này thì tốt quá mình chỉ tin tưởng dùng melakee,1
101858671714061_111061344127127,111061344127127_111158624117399,mình nghĩ vs 1 hãng mới ra thì nên nhắm vào phân khúc giá thấp hơn để cạnh tranh được chứ với giá này mà cấu hình hiện tại thì khó lắm,0
101858671714061_111061344127127,111061344127127_111858367380758,Dùng máy ok nhưng có lỗi về pin hay củ sạc gì đó ak Mới dùng một tháng giờ pin sạc k vào ad ơi,-1
101858671714061_111061344127127,111061344127127_111858480714080,Mua về được 5 ngày máy cứ khởi động lại không bắt được bluetooth chụp ảnh mờ,-1
101858671714061_111061344127127,111061344127127_111858734047388,lúc đầu sáng xong lại tối wi- fi thì bắt kém,-1
101858671714061_111061344127127,111061344127127_111858984047363,mua cáp sạc được tặng kèm điện thoại mại zô,1
101858671714061_111061344127127,111061344127127_111859197380675,Điều đầu tiên mình cảm nhận là máy cấu hình mạnh trong tầm giá nhưng cần cải thiện 1 số lỗi,0
101858671714061_111061344127127,111061344127127_111859484047313,"máy bắt sóng wifi yếu, loa bị ghè, thêm tính năng chống nước, loại bỏ cảm biến vân tay ở phía sau",0
101858671714061_111061344127127,111061344127127_111859567380638,mình vẫn ủng hộ hàng Việt Nam,0
101858671714061_111061344127127,111061344127127_111859787380616,thương hiệu còn non trẻ nên cũng cần có thời gian để hoàn thiện hơn !!,-1
101858671714061_111061344127127,111061344127127_111859787380616,!,0
101858671714061_111061344127127,111061344127127_111859890713939,Máy hay bị đơ ko thao tác dc,-1
101858671714061_111061344127127,111061344127127_111860014047260,Hàng gì mà lỗi suốt,-1
101858671714061_111061344127127,111061344127127_111860277380567,Hôm trước lỗi cảm ứng bây giờ thì lỗi đang sài tự động tắt nguồn .,-1
101858671714061_111061344127127,111061344127127_111860277380567,pó tay,-1
101858671714061_111061344127127,111061344127127_111860437380551,Máy đầu tiên mua ko lỗi gì nhưng dùng chưa đc hết tháng lỗi một đống,-1
101858671714061_111061344127127,111061344127127_111860757380519,"Bắt wifi yếu, sóng tạm, hình chụp tối, camera trước tệ,",-1
101858671714061_111061344127127,111061344127127_111860777380517,"Sẽ giới thiệu sản phẩm này cho bạn bè, người thân",1
101858671714061_111061344127127,111061344127127_111860827380512,àng ngày càng tệ thất vọng,-1
101858671714061_111061344127127,111061344127127_111860930713835,Hàng kém chất lượng,-1
101858671714061_111061344127127,111061344127127_111861407380454,"Mua meraki được 1 tuần, nói chung là ổn với nhu cầu dùng của riêng mình.",1
101858671714061_111061344127127,111061344127127_115424127024182,Cái này chỉ bắp ngoài cái kieu đẹp ra còn lại điều do mới sai may ngay may hay bị đo cảm ứng k nhay chụp ảnh siêu xấu khoa thì lúc đc lúc k lúc k cần nó vẫn tự mở khóa ai có ý định cái này phải suy nghĩ lại đi nha,-1
101858671714061_111061344127127,111061344127127_115424293690832,máy về camera và vi xử lý ko thích hợp với những người thích chơi game hay chụp ảnh,1
101858671714061_111061344127127,111061344127127_115425143690747,"không đáng với giá đó, chụp ảnh cũng không đẹp.",-1
101858671714061_111061344127127,111061344127127_115425343690727,Xài hàng Việt Nam khả năng chất lượng,0
101858671714061_111061344127127,111061344127127_115425360357392,"Này ông, tôi không biết mọi người thấy meme này như thế nào, nhưng đối với tôi, nó tuyệt lắm, cơ mà có vẻ như nó không đáp ứng được tiêu chí là một món ăn tinh thần cho anh em trong group và cả tôi, tôi chắc chắn rằng ông có thể tạo ra những meme còn tuyệt hơn như thế này nhiều, tôi và cả anh em trong group cảm thấy thật hạnh phúc khi có ông trong group, chúng tôi tự hào và xúc động về những cố gắng ông đã đóng góp để phát triển group của chúng ta, tôi thật may mắn vì đã gặp được ông, chào ông và thân ái",0
101858671714061_111061344127127,111061344127127_115425630357365,Theo mình thì không nên đăng những bài như thế này.,0
101858671714061_111061344127127,111061344127127_115425630357365,"Cái xấu xa, mình phải quên nó đi, cho nó mất dần.",0
101858671714061_111061344127127,111061344127127_115425630357365,K nên nhắc lại.,0
101858671714061_111061344127127,111061344127127_115425630357365,"Ng tốt sẽ bị ám ảnh, k tốt cho tinh thần, ng xấu sẽ ghi nhận.",0
101858671714061_111061344127127,111061344127127_115425630357365,Ng k hiểu biết sẽ ghi nhớ.,0
101858671714061_111061344127127,111061344127127_115425630357365,Và nếu nhóm còn đăng nhiều bài như t… thế này thì mình sẽ rời nhóm.,0
101858671714061_111061344127127,111061344127127_115425630357365,"Cuộc sống rất ngắn ngủi, tại sao phải để tâm đến điều cần quên đi.",0
101858671714061_111061344127127,111061344127127_115425630357365,Hãy sống tích cực và tươi sáng.,0
101858671714061_111061344127127,111061344127127_115425893690672,Theo mình thì không nên đăng những bài như thế này.,0
101858671714061_111061344127127,111061344127127_115425893690672,"Cái xấu xa, mình phải quên nó đi, cho nó mất dần.",0
101858671714061_111061344127127,111061344127127_115425893690672,K nên nhắc lại.,0
101858671714061_111061344127127,111061344127127_115425893690672,"Ng tốt sẽ bị ám ảnh, k tốt cho tinh thần, ng xấu sẽ ghi nhận.",0
101858671714061_111061344127127,111061344127127_115425893690672,Ng k hiểu biết sẽ ghi nhớ.,0
101858671714061_111061344127127,111061344127127_115425893690672,Và nếu nhóm còn đăng nhiều bài như t… thế này thì mình sẽ rời nhóm.,0
101858671714061_111061344127127,111061344127127_115425893690672,"Cuộc sống rất ngắn ngủi, tại sao phải để tâm đến điều cần quên đi.",0
101858671714061_111061344127127,111061344127127_115425893690672,Hãy sống tích cực và tươi sáng.,0
101858671714061_111061344127127,111061344127127_115426390357289,"Không vui chút nào, tôi đã không cười.",0
101858671714061_111061344127127,111061344127127_115426390357289,"Trò đùa của bạn thật tệ, tôi sẽ thích trò đùa này nếu nó được xoá khỏi đầu tôi và bạn vui lòng từ bỏ nói lại cho tôi trò đùa đấy.",0
101858671714061_111061344127127,111061344127127_115426390357289,"Nói thật, đây là một nỗ lực kinh khủng khi cố gắng để mang một nụ cười ra khỏi tôi.",0
101858671714061_111061344127127,111061344127127_115426390357289,"Không phải cười, không phải hehe, thậm chí không phải là một sự bùng nổ tinh tế từ thực quản của tôi.",0
101858671714061_111061344127127,111061344127127_115426390357289,Khoa học có nói trước khi bạn cười não của bạn chuẩn bị cơ mặt nhưng tôi thậm chí không cảm thấy một chuyển động nào dù là nhỏ nhất.,0
101858671714061_111061344127127,111061344127127_115426390357289,"0/10 trò đùa này thật tệ, tôi không thể tin là có người lại đủ pháp lý để cho phép bạn được quyền sáng tạo.",0
101858671714061_111061344127127,111061344127127_115426390357289,Lượng sức mạnh não bộ mà bạn đã đưa vào trò đùa đó có thể tạo năng lượng cho mọi ngôi nhà trên Trái Đất.,0
101858671714061_111061344127127,111061344127127_115426390357289,"Hãy có một nhân cách và học cách tạo ra trò đùa, đọc một cuốn sách đi.",0
101858671714061_111061344127127,111061344127127_115426390357289,"Tôi không nói điều này để trở nên buồn cười, tôi thực sự có ý đó về cách mà đây chỉ là sự bi hài trong hài kịch.",0
101858671714061_111061344127127,111061344127127_115426390357289,Bạn đã giết chết sự hài hước và mọi hành động hài kịch trên hành tinh.,0
101858671714061_111061344127127,111061344127127_115426390357289,Tôi rất thất vọng vì xã hội đã thất bại trong việc có thể dạy bạn cách hài hước.,0
101858671714061_111061344127127,111061344127127_115426390357289,"Thật lòng mà nói nếu tôi đặt tất cả sức mạnh và thời gian để cố gắng và làm cho trò đùa của bạn buồn cười, nó sẽ yêu cầu Einstein phải xây dựng một thiết bị để tôi có thể kết nối với năng lượng của một tỷ ngôi sao để làm điều đó, và thứ duy nhất mà trò đùa đó nhận được từ mọi người là một sự khinh bỉ tinh tế.",0
101858671714061_111061344127127,111061344127127_115426390357289,Bạn thật may mắn vì tôi vẫn còn chút cảm thông cho bạn sau khi kể trò đùa đó nếu không tôi sẽ nhận hết mọi tội ác chiến tranh từng được ghi lại trong sử sách chỉ để ngăn cản bạn cố gắng mang đến bất kỳ sự hài hước nào nữa.,0
101858671714061_111061344127127,111061344127127_115426390357289,Chúng ta nên đặt trò đùa đó vào sách giáo khoa để các thế hệ tương lai có thể cảnh giác khỏi việc trở thành một thất bại tuyệt đối trong hài kịch.,0
101858671714061_111061344127127,111061344127127_115426390357289,"Tôi thất vọng, tổn thương và bị xúc phạm hoàn toàn khi thời gian quý báu của tôi đã bị lãng phí chỉ để não tôi có thể hiểu trò đùa đó.",0
101858671714061_111061344127127,111061344127127_115426390357289,"Trong khoảng thời gian đó tôi đã lên kế hoạch giúp đỡ những đứa trẻ mồ côi, nhưng vì điều đó bạn đã làm tôi đã phải giải thích với một cách ít tục tĩu nhất về nỗ lực khủng khiếp của bạn trong hài kịch.",0
101858671714061_111061344127127,111061344127127_115426390357289,Bây giờ những đứa trẻ đang đau khổ khi không có bữa ăn và không có ai để đổ lỗi ngoài bạn.,0
101858671714061_111061344127127,111061344127127_115426390357289,Tôi hy vọng bạn hạnh phúc với những gì bạn đã làm và tôi thực sự hy vọng bạn có thể bước tiếp và học hỏi từ nỗ lực đáng thương này.,0
101858671714061_111061344127127,111061344127127_115426833690578,"bạn đầu dùng tốt, lâu dài thì chưa biết!",0
101858671714061_111061344127127,111061344127127_115426833690578,Mấy đứa bình luận trẻ con khiếp,0
101858671714061_111061344127127,111061344127127_115426870357241,"Siêu hài hước, tôi đã cười sau khi đọc cap của bạn, sau đó tôi đưa cho bạn bè tôi, hõ cũng cười, gọi tôi là cây hài của lớp, khi tôi đưa cho crush, ngay lập tức tài khoản của cô ấy biến thành chữ Người dùng Facebook, khi bị các chú cảnh sát giao thông gọi vào, tôi không xuất trình giấy tờ xe hay bằng lái, mà thay vào đó tôi đưa các chú bài viết của bạn, tôi đã được thả đi ngay sau khi nộp trà đá 500k cho các chú, khi bị gọi đi nghĩa vụ quân sự, tôi đã được miễn nghĩa vụ bằng cách đưa người ta xem bài viết của bạn, thật sự cảm ơn bạn rất nhiều, nhờ bài viết của bạn mà tôi không còn muốn tự tử vào mỗi tối, tôi cảm thấy bớt tự ti hơn vì ngoài xã hội kia vẫn còn nhiều thằng hài hước như mình, tôi thật sự cảm ơn vì bài viết của bạn đã cho tôi nhiều hơn là tiếng cười.",0
101858671714061_111061344127127,111061344127127_115426913690570,Nhóm này đã bị điều tra bởi các cơ quan trực thuộc Bộ Công an (và/hoặc các tổ chức chính trị tương tự phục vụ cho nhà nước CHXHCNVN).,0
101858671714061_111061344127127,111061344127127_115426913690570,Cơ quan điều tra (CQĐT) khẳng định các thành viên trong này liên quan tới nhóm hoặc những cá nhân khác trong đây.,0
101858671714061_111061344127127,111061344127127_115426913690570,"CQĐT biết rõ tại sao các thành viên lại có mặt ở đây vào thời điểm này, tài khoản của họ không được thêm bởi một bên thứ ba mà chính họ tự tham gia vào đây.",0
101858671714061_111061344127127,111061344127127_115426913690570,Các nhân viên của CQĐT cũng xin khẳng định rằng những hành động chống phá Đảng và Nhà nước đã được thực hiện bởi các thành viên trong nhóm này.,0
101858671714061_111061344127127,111061344127127_115426913690570,"Nhà nước CHXHCNVN cũng không quên khẳng định quyết tâm chiến thắng đại dịch Covid-19, nhấn mạnh chủ quyền không thể tranh cãi với quần đảo Hoàng Sa và Trường Sa, cũng như tính chính nghĩa của cuộc chiến giải phóng người dân Campuchia khỏi thảm họa diệt chủng Khmer Đỏ.",0
101858671714061_111061344127127,111061344127127_115426983690563,"MỘT TƯ DUY HẾT SỨC LỆCH LẠC VÀ VÔ NHÂN            Người làm ra meme này, hoặc là trẻ tuổi kém trí, hoặc là tàn ác vô nhân.",0
101858671714061_111061344127127,111061344127127_115426983690563,"Mình không ưa những người dân chủ cuội, những người té nước theo mưa, hoặc chính trị cơ hội.",0
101858671714061_111061344127127,111061344127127_115426983690563,"Đây không phải là một điều đáng cười, nó đáng buồn.",0
101858671714061_111061344127127,111061344127127_115426983690563,"Hãy thử nghĩ về công an của bạn, nếu giả sử bạn đang bị hành hung, nhưng công an không đến giúp bạn chỉ vì sự khác biệt trong tư duy, tôn giáo, quan điểm chính trị của bạn, điều đó có đúng không?",0
101858671714061_111061344127127,111061344127127_115426983690563,"Các bạn sẽ bảo rằng, anh Sang chỉ nói lý thuyết, xã hội thực sự nó như vậy.",0
101858671714061_111061344127127,111061344127127_115426983690563,Mình biết chớ.,0
101858671714061_111061344127127,111061344127127_115426983690563,"Nhưng xã hội vận hành như vậy, có đúng không?",0
101858671714061_111061344127127,111061344127127_115426983690563,"Xưa kia, xã hội cũng tin rằng, phù thủy phải bị thiêu sống, điều đó có đúng không?",0
101858671714061_111061344127127,111061344127127_115426983690563,"Tạo hoá cho mình cái não, hãy suy nghĩ.",0
101858671714061_111061344127127,111061344127127_115426983690563,"Nếu không, bạn sẽ chỉ đơn thuần là con sâu, cái kiến cho người khác lợi dụng.",0
101858671714061_111061344127127,111061344127127_115427193690542,dùng thấy đơ ghê.,0
101858671714061_111061344127127,111061344127127_115427193690542,Treo có chục úng dụng mà đang lướt tiktok tự nhiên đẩy ra rồi chả hiện ứng dụng nào luôn,0
101858671714061_111061344127127,111061344127127_115427303690531,dammmm bn đang tả mình à :)),0
101858671714061_111061344127127,111061344127127_115427590357169,Xài rất oke.,1
101858671714061_111061344127127,111061344127127_115427590357169,Vô địch giá này lun.,1
101858671714061_111061344127127,111061344127127_115427590357169,Mọi ng nên mua.,1
101858671714061_111061344127127,111061344127127_115428063690455,"Pin siêu trâu, sạc khá nhanh.",1
101858671714061_111061344127127,111061344127127_115429013690360,mình khuyên ae nếu k có tiền thì cứ mua máy merakee mà dùng vẫn đảm bảo chất lượng,1
101858671714061_111061344127127,111061344127127_115429260357002,Sài wifi thì yếu.,-1
101858671714061_111061344127127,111061344127127_115429260357002,Sài 4G cũng yếu.,-1
101858671714061_111061344127127,111061344127127_115429403690321,"Máy đẹp pin trâu, hiệu năng mượt.",1
101858671714061_111061344127127,111061344127127_115429477023647,"Máy lúc mới mua về bị lỗi nghe gọi, lúc gọi nghe lúc được lúc không, pin rất trâu, sau khi cập nhật lại thì nghe gọi ổn định rồi, nhưng pin lại tuột nhanh hơn",0
101858671714061_111061344127127,111061344127127_115432390356689,Chất lượng quá tệ,-1
101858671714061_111061344127127,111061344127127_115432460356682,Camera chụp ảnh không sắc nét một chút nào,-1
101858671714061_111061344127127,111061344127127_115432583690003,"Không hợp với giá tiền, chất lượng như thế giá chỉ 1 nửa thôi",-1
101858671714061_111061344127127,111061344127127_115433097023285,"Pin hao rất nhanh, một ngày phải sạc rất nhiều lần",-1
101858671714061_111061344127127,111061344127127_115433683689893,"Wifi thì chập chờn, sóng lúc bắt được úc không",-1
101858671714061_111061344127127,111061344127127_115434203689841,"Loa chán lắm nhé, bị ròe thấy rõ",-1
101858671714061_111061344127127,111061344127127_115434837023111,Phiên bản mới này có nhiều cải tiến hơn phiên bản cũ,1
101858671714061_111061344127127,111061344127127_115435153689746,camera 360 2 chiều tha hồ để sống ảo và bắt khoảnh khắc đẹp,1
101858671714061_111061344127127,111061344127127_115435337023061,Kích thước cầm rất vừa tay,1
101858671714061_111061344127127,111061344127127_115435660356362,Pin dùng lâu mà bền lắm nhé,1
101858671714061_111061344127127,111061344127127_115435863689675,Cầm máy cả 4 5h đồng hồ mà máy không nóng,1
101858671714061_111061344127127,111061344127127_115436253689636,Đúng tiêu chuẩn hàng VN chất lượng cao,1
101858671714061_111061344127127,111061344127127_115436317022963,Thế này thì việc vươn ra TG chỉ là sớm hay muộn,0
101858671714061_111061344127127,111061344127127_115436673689594,thương hiệu còn non trẻ nên cũng cần có thời gian để hoàn thiện hơn !!,0
101858671714061_111061344127127,111061344127127_115436673689594,!,0
101858671714061_111061344127127,111061344127127_115436810356247,Sản phẩm tốt nhưng thái độ nhân viên phục vụ khá kém thân thiện,-1
101858671714061_111061344127127,111061344127127_115437123689549,Còn ủng hộ dài dài,1
101858671714061_111061344127127,111061344127127_115437207022874,Lần sau không baoh quay lại để mua nữa nhé,-1
101858671714061_111061344127127,111061344127127_115437250356203,"Máy mua 2 ngày mà cứ như 20 năm, lag quá",-1
101858671714061_111061344127127,111061344127127_115437373689524,"Ảnh chụp chán lắm, màu cứ vàng le",-1
101858671714061_111061344127127,111061344127127_115437507022844,"Chưa hoàn thiện sản phẩm mà đã tung ra thị trường, làm ăn thất đức quá",-1
101858671714061_111061344127127,111061344127127_115437833689478,Sản phẩm nhận được khác nhiều feedback tệ nhưng cá nhân mình thì không thấy như vậy,1
101858671714061_111061344127127,111061344127127_115438443689417,"Hy vọng thương hiệu sẽ còn vương xa hơn, cho bạn bè thế giới biết đến, sản phẩm tuyệt quá",1
101858671714061_111061344127127,111061344127127_115438770356051,"Không biết ở đây có ai như mình không, chim ưng thật sự",1
101858671714061_111061344127127,111061344127127_115438817022713,Máy gì đẹp ghê,1
101858671714061_111061344127127,111061344127127_115438897022705,Càng dùng càng thấy tính năng của nó hữu ích như thế nào,1
101858671714061_111061344127127,111061344127127_115439667022628,"Mua cho mẹ, mẹ mình ưng lắm",1
101858671714061_111061344127127,111061344127127_115440067022588,"Làm quà sinh nhật bố, mà bố bảo chất lượng không ra gì",-1
101858671714061_111061344127127,111061344127127_115440127022582,Nhân viên tư vấn không được nhiệt tình,-1
101858671714061_111061344127127,111061344127127_115440387022556,Nhân viên gì không có tâm mà sản phẩm cũng thế luôn,-1
101858671714061_111061344127127,111061344127127_115440707022524,"Thích nhất loa của máy, nghe nhạc, gọi điện, xem phim âm thanh rất sống động",1
101858671714061_111061344127127,111061344127127_115440747022520,2 từ tuyệt vời,1
101858671714061_111061344127127,111061344127127_115440780355850,Đằng cấp tạo nên thương hiệu - chim ưng quá,1
101858671714061_111061344127127,111061344127127_115440797022515,Mình và gia đình sẽ tin dùng dài dài,1
101858671714061_109979290901999,109979290901999_110133467553248,Cấu hình ngon.,1
101858671714061_109979290901999,109979290901999_110133467553248,Giao diện đẹp.,1
101858671714061_109979290901999,109979290901999_110133467553248,Thao tác đơn giản.,1
101858671714061_109979290901999,109979290901999_110133934219868,Cấu hình nói chung là chán.,-1
101858671714061_109979290901999,109979290901999_110133934219868,Không dùng được đâu,-1
101858671714061_109979290901999,109979290901999_110134094219852,Không có gì đặc sắc lắm,0
101858671714061_109979290901999,109979290901999_110134114219850,Bình thường,0
101858671714061_109979290901999,109979290901999_110134540886474,"Mẫu điện thoại mới này có thiết kế nhỏ gọn và nhẹ phù hợp đút túi quần đi chơi, rất ủng hộ",1
101858671714061_109979290901999,109979290901999_110136194219642,Máy màu trắng quá đẹp.,1
101858671714061_109979290901999,109979290901999_110136194219642,"Pin cực kì trâu và loa ngoài nghe rất hay, ăn đứt con samsung cũ.",1
101858671714061_109979290901999,109979290901999_110136194219642,"Mình không chơi game nhiều nhưng thấy máy cũng rất mạnh, mượt, không có giật lag gì, nghe nhân viên nói con chip này rất mạnh rồi nên yên tâm mà sài thôi

 Sẽ giới thiệu sản phẩm này cho bạn bè, người thân",1
101858671714061_109979290901999,109979290901999_110136367552958,"Mình mua máy được hơn 1 tháng rồi ... Pin khá trâu , có phần âm báo tin nhắn mình có cài đặt mọi lần có báo mà bây giờ lại không báo nữa .",0
101858671714061_109979290901999,109979290901999_110136367552958,Camera tạm ổn,1
101858671714061_109979290901999,109979290901999_110136517552943,"Mình vừa mới mua máy hôm qua,test loa xong cảm thấy máy quá rè, camera ổn trong tầm giá, pin hơi tuột, lướt thấy mượt nhưng lâu dài k biết thế nào.",-1
101858671714061_109979290901999,109979290901999_110136660886262,iện thoại choi game hay gọi mọi thứ điều ok. Còn riêng cái wifi hút yếu quá.,0
101858671714061_109979290901999,109979290901999_110136660886262,"thêm cái gõ 2 lần mở màn hình, lúc dc lúc không",0
101858671714061_109979290901999,109979290901999_110137570886171,Rất ok an tui rất thích sản phẩm nay ạ loa rất lớn rất hay.lướt cũng rất mượt mà.chụp camara thường rất đẹp lun,1
101858671714061_109979290901999,109979290901999_110137794219482,"Máy đẹp pin trâu game mượt ,mỗi cái phần update không được có thường xuyên,camera thì tạm",0
101858671714061_109979290901999,109979290901999_110137947552800,Máy mình mua đc 15ngay Sài ok lắm máy mượt phải núi là vá thích mình đang định mua 1 máy nữa cho chồng mình Sài ❤,1
101858671714061_109979290901999,109979290901999_110164180883510,"k mời đc celeb nào nhận quảng bá à, chắc máy cùi pắp",-1
101858671714061_109979290901999,109979290901999_110164290883499,"Đt chơi game có lúc đơ , mới sài đc vài tiếng, hk biết còn bị lỗi gì nữa không, hazzzz",-1
101858671714061_109979290901999,109979290901999_110164734216788,Mua về được 5 ngày máy cứ khởi động lại không bắt được bluetooth chụp ảnh mờ lúc đầu sáng xong lại tối wi- fi thì bắt kém,-1
101858671714061_109979290901999,109979290901999_110164897550105,"Điều đầu tiên mình cảm nhận là máy cấu hình mạnh trong tầm giá nhưng cần cải thiện 1 số lỗi như máy bắt sóng wifi yếu, loa bị ghè",-1
101858671714061_109979290901999,109979290901999_110165124216749,Máy hay bị đơ ko thao tác dc.tắc máy mở lên lại thì dc.chơi game hơi bị bực.xị cách khắc phục,-1
