,Review,Label
10, Thái độ nhân viên phục vụ không mê mà trước giờ trừ GV ra thì mình chưa mê được thái độ nhân viên PG ở đâu nhìn khách như kiểu mày muốn gì mày nhanh nhanh nói với khách cũng với kiểu khách là pet còn các bạn ấy là xin lạy của em một lạy Không gian học bài ở đây không ồn mỗi tội ít chỗ quá nên lần nào mình đến cũng không tìm được chỗ ngồi Đồ uống bình được cái mình thích ăn thạch ở mát,0
11, Nghe mọi người nói thịt ở đây toàn nghe cũng nản nhưng cũng muốn đi thử xem thế Chẳng biết mọi người sao chứ mình thấy ăn rất thịt không quá nhiều nhưng nếu bớt chút nữa thì sẽ tuyệt vời hơn,-1
12, Hôm nay mình cùng gia đình đi ăn cơm trên đĩa nóng Cảm thấy cung tạm đc mà mối tội phục vụ qua kém Xin nước sốt nhân viên ko cho lại còn cau mày quát khách Giứ khách thi khó đuổi khách thì,-1
13, Hôm nay lúc sáng tôi có ghé qua tiệm mua bánh mì Mọi việc diễn ra như Cô cho cháu ổ bánh mì gối Cô ơi có loại to nếu có cho cháu tôi sau rồi nói lúc đầu còn nghĩ bị điếc nên định ra Thôi cho cháu cái nhỏ cũng Bực mình lần đó có cả em tôi cũng đang chọn bánh để sau đó nó chọn chiếc bánh dạng gato thì phải đang để ở bên quầy Cho cháu cái bánh trên kia kìa Đây à cầm hộp Không phải cô cái bánh tròn kia Cầm cái bánh đó nhưng không đưa cho em tôi mà hồn nhiên bày lên Cô không muốn bán Thôi đi chi tiết nhỏ là cái bánh gối tôi mua tôi đưa lúc đó em tôi đang chọn thêm bánh nên có thể cô BH đó định trừ Nhưng sau khi bọn tôi định về cũng không thấy ai NHỚ trả lại lúc đó tôi nhớ ra nên quay lại chi tiết này tôi không muốn đi Không biết cô này là chủ hay chỉ là nhân nếu là nhân viên cần thanh lọc ngay lập tức nếu muốn giữ BAO GIỜ QUAY LẠI,-1
14, Lần đầu tiên đến ấn tượng đầu tiên là thái độ phục vụ chả ra cái khinh gọi chai nước thì nhân viên chỉ đi qua nhìn cái xong gọi tới chục lần mới mang đồ ăn bình khói nghi ngút ko có nổi cái mình nướng được miếng thịt thì mắt mũi cay xè vì khói xoay các hướng cũng ko tránh đi ăn hôm đang có menu mà chỉ gọi lượt rồi đi luôn vì mắt cay khói khó chịu thì làm sao mà ăn uống,-1
15, Gongcha lý thường kiệt không gian bên trong nhìn cũng yêu rộng rãi nhưng lại chỉ có qua vào chiều mà ngồi kín hết các bàn r nên phải Phải xếp hàng lúc mới order nhưng đồ ra cũng khá chắc chỉ Trà sữa kem béo ngậy siêu uống đến cuối vẫn còn rất giá chung chung cho trà sữa là topping các pudding trứng y như caramen truyền thống mà cta vẫn thường,1
16, Quán này do bạn gái mình bếch Sau khi nghe con bạn dở hơi tỉ tê là quán này có món bingsu ngon lắm này mặc dù mình cản nhưng vẫn nhất quyết đưa mình đi cho bằng được mới chịu thôi có hai tầng ngồi thì mà chỉ mới ngồi tầng chưa lên tầng nên cũng chưa biết Không gian cũng khá là trẻ đâu đúng là có bingsu ngon Gọi size single cho hai đứa ăn mà cũng bứ Nói chung là đầy cả thì cũng khá cao bát,1
17, Foody h toàn lấy để PR thôi theo foody gt đến đây nói thật là KO BAO GIỜ QUAY TRỞ LẠI ăn vỏ bánh ko nhân chẳg có đc j mấy ăn ko ngon ko bõ vs công bỏ thái độ nhân viên thì như chửi vào trong nó chẳg là cái j cả mà mấy bạn nhân viên phải lên mặt nói như kiểu là Mình gọi nc trc mà đến tận khi ăn xog lại phải nói thêm câu nữa mới đem ra trog khi bàn bên cạnh vs mấy bàn khác gọi sau mà ra lại là ko chấp nhận đc và ko bao h quay lại đây ăn,-1
18, hôm cả nhà mình đi ăn ở đây thấy ai cũng khen ngon nhất là anh chị mình vì cả nhà hay ăn ở đây riêng mình thì mình chả thấy ngon gì cả mà giá cả thì thấy hơi đắt,-1
19, Cơm lươn đắt mà sắt mãi ko ra miếg nào cơm khô rời khô trứng cũng lươn bé ko thơm mùi vị cũg nhạt Ăn phí cả mồm bực cả,-1
20, Lẩu cá măng miếng cá đậm đà dày thịt chắc Mình nghiện lẩu măng rừng ở Tuần phải ăn lần mới thoả cơn,1
21, Đồ ăn không gian ấm sạch nhân viên vui nhanh Thế còn muốn gì đây dịp cuối trước khi đến cũng nghĩ cuối tuần sẽ không hoàn hảo nhưng sự thật lại Nhân viên đồ ăn phong xuống nhanh Mình ngồi khá muộn nhưng nhân viên không tỏ ra mệt mỏi hay gì Chắc cũng do quản lý training chứ các em làm vậy cũng mệt Sẽ đến đây nhiều nhiều Các bác cứ đến Đảm bảo hài lòng trọng là không khí Noel ngập và tràn luôn Noel này cứ đến muộn và ngồn lân la ở Đường đông đi mệt,1
22, Jlegu Bbq Nguyên nướng bình ăn từ thời mới mở ở Hàng giá bao năm vẫn H chuyển sang đây rộng sáng sủa hơn Nv max nhiệt thấy vỉ hơi đen đã ra hỏi c muốn thay tư vấn đồ cũng thật Đi mình gọi set M ba chỉ bà chỉ bò dẻ sườn bò dc tẩm ướp cẩn bánh kim chi rau thoải Nướng chín lấy xà lách cho chút kim chi với miếng thịt chấm đẫm tương ớt ngoạp miếng phê cả Độ này yếu nên ăn thế là ko ăn nổi bánh nhắc tới là,1
23, k lâu vô,-1
24, xôi nhiều ăn thì cũng tạm đến nỗi ngon như quảng cáo của nhiều người,-1
25, Quán đông lúc nào cũng thấy Gửi xe thì thôi rồi bằng tiền nửa cốc nước Đồ uống chả có gì đặc sắc mà giá thì chát kinh khủng toàn mấy nghìn cốc húp hơi là hết không gian thì quá đông đúc chật View nhìn ra mỗi nhà Nói chung ko bao giờ quay,-1
26, Bánh tráng mà mình đc mấy hộp đồ ra ngoài trưng vậy thôi chứ k trộn mọi người bánh trộn sẵn nên ăn sợ quá dám ăn k biết trộn ở đâu để từ bao h mà nó bết dính lại k thể nào nuốt nổi,-1
27, Đi hôm cuối năm nhưng thấy ko đông Gọi một đĩa lòng xào bò và phở Cả hai món đều siêu Lòng xào chả thấy lòng tim và nội tạng ăn cũng tàm tạm nhưng chỉ ăn đc là ngấy lắm Đĩa phở rán thì ngập Cảm giác món ăn đc nấu bằng dầu chiên đi chiên lại nhiều lần Giá cũng ko rẻ chừng kể trà đá gọi quán bên cạnh cốc gửi xe chả có khách đến cứ hỏi ăn gì xong tuôn một tràng các món chả đầu đuôi gì,-1
28, Món an ngon không gian đẹp và lãng mạn nhân viên nhiệt tình thân thiện giá cả hợp lý sẽ còn quay lại cảm ơn salmonoid,1
29, Đồ ăn giá cả phải không gian mát nhân viên thân thiện vô cùng,1
30, Mình order có suất trà sữa là các bạn ý hẹn CHỜ MÌNH cảm giác nó thành bộ ngực của Elly Trần TÍ to có suất trà sữa thôi mà đến tiếng đồng thành cảm ơn sự phục vụ của quý hàng PHIÊU LINH TÍ,0
31, Đến quán lúc mà không có chỉ dẫn thời gian bên ngoài và không đúng như offer trên Nvien có nói là mở cưat từ rất khó cho khách hàng nếu muốn vào phải chờ confirm từ quản,-1
32, Đồ ăn cực mình gọi từ món kimpap đến pizza tráng miệng bánh Mọi thứ đều ko j phải gian có tầng là quầy tính tiền và vài bàn lên tầng ko gian khá nhỏ nhưng quán cũng ko đông lắm nên cũng nhân viên anh chị chủ thân phục vụ kì,1
33, Bar này đi từ kim sơn lên hoảng bao xa vậy,1
34, Quán có vị trí tốt nhưng nhân viên phục vụ quá quán đông mà không hướng dẫn xếp bàn cho Order rất lâu mới có đo Menu có nhiều món không khi hỏi thì nvien tỏ vẻ khó,-1
35, Thấy quảng cáo rầm rộ trên đồ ăn giá cả phải chăng nhưng khi đến quán lại là vấn đề mình order set đĩa thịt thì bé miếng thịt thì mỏng nước chấm thịt nướng là nước tương muối chấm mặn mình order thêm kim đĩa bé tẹo mà chung ko thể chấp nhận So với chất lượng của các quán nướng lẩu khác thì đúng là điểm,-1
36, Chả cá ngon ăn không bị miếng cá chắc ĐẶC BIỆT chè khúc bạch ngon cực kì vụ rất nhiệt tình từ nhiên quản lý cả bảo vệ đúng dịp trung thu được tặng cặp bánh handmade,1
37, Hôm nay mình vào muốn xem thử bánh để mua vừa ăn vừa làm quà cho con nhưng khi dạo quanh một lúc thì mình không muốn mua bánh vì Vì quán có quá nhiều ruồi nhặng bám lên bánh k nói tới bánh đã để trong tủ thử hỏi khi thấy các bé ruồi tung tăng hôn hít tản bộ trên các ổ bánh vàng ươm như vậy liệu bạn còn muốn bỏ tiền ra ăn nữa,-1
38, Đồ ăn đa phong khá Giá cả vừa để xe rộng Không gian quán khá rộng,-1
39, Dù đông hay nắng hay nghỉ hay học đi chăng nữa thì đây vẫn là chỗ mò tới mỗi khi thèm Vì cấp học Kim Liên nên gần toàn ra đây xong sau hết dẫn bạn cấp đến đại học chui vào đây đứa nào cũng phải công nhận chỗ này ngon mà rẻ quá trời Quán nằm ở sân khu tập thể Kim Liên rẽ từ đường Lương Định Của vào nên rất thoáng đãng và rộng Ở đây khi đến sẽ có chỗ để giấy menu của các bạn viết tên của mình vào giấy rồi chọn món trong đó và đưa cho nhân viên mà thôi bước còn lại là tìm chỗ ngồi cho bản thân và Quán rất rất đông luôn hết đồ nhanh kinh khủng có hôm chiều mình ra hết sạch các thứ chỉ còn mỗi thạch dừa nên đành ngậm ngừi ra về thế nên lời khuyên của mình là muốn ăn đc mấy món ngon ngon mà có caramel các thứ thì toàn phải đi lúc tầm sáng trưa Thạch ở đây có nhiều vị khác nhau ăn rõ từng vị luôn mỗi bát sẽ gồm cục thạch to bự và vài hột chân châu to nhỏ nhiều loại mà ngon lắm Tuỳ vào suất mn chọn có thể thêm caramel hoặc nếp cẩm hay mít gì đó ăn hợp Trong bát ngoài những thứ trên còn phải có sữa đặc và nước cốt dừa nữa nên rất ngọt phải cho đá vào tan ra ăn sẽ vừa miệng Giá thì rẻ mà đc cả bát ú ụ còn ngon nữa nên lúc nào quán cũng ưng nhất luôn chưa tìm ra đc chỗ nào thay thế luôn Thạch Quán Sân chơi nhà khu tập thể Kim Liên,1
40, Vào ăn bát nộm chân gà rút xương mà cảm thấy bị gà giòn nhưng vị ko yêu cũng chán cho thêm tí vừng lạc quẻ dã xều thôi never come back,0
41, Phở cuốn ăn bình ko ngon lại ýt Được cái ăn phở chiên phồng ở đây nhiều ăn Chỗ ngồi hơi ko sạch sẽ,0
42, Quán dễ tên của quán đã giúp ta hình dung ra được phần nào của quán làm từ nguyên liệu tự nhiên đảm bảo được cả vệ sinh thực phẩm và chất này ăn chè sắn rất hợp ra chè bí đỏ ăn cũng rất lạ thì mình không thích thường trộn vị vào một bị quá no lại có thể thưởng thức được nhiều ra cuối tuần chỉ là bạn có thể thả ga rồi,1
43, lần nào đến đây ăn bánh cũng thấy ưng cheese brownie kiểu đúng vị chocolate và còn được làm ấm redvelvet ngọt vừa kem rõ vị cheese rất mousse chanh leo mềm vừa chua ngọt vừa nói chung bánh nào cũng đạt trừ cookie kèm trà hơi ngọt một quán bé ko gian dễ trong phố nhỏ ko hẻo lánh quá nhưng ko bị ồn ào trà gọi một bình trà ko đường châm nước vaif lần ko bị nhân viên,1
44, Trà xanh kem cheese quán trà sữa bị mê nhất ở hà nội ta thích gong cha nhưng mà riêg mình từ hôm dc thử uống trà sữa ở đây thì chỉ thích mỗi royalaet thôi mình gọi trà xanh kem cheese phải nói là lớp kem cheese mằn mặn ngon ngầy ngậy thích cực kì luôn cứ thích hút mỗi lớp kem mặn bên trên thôi chứ sợ quấy đều thì k còn rõ vị nữa Giá cả thì hợp lý chủ ở đây thân thiện cực luôn Không gian thì ấm được cái nhiều cây xanh nên mình rất ghé qua nhiều lần và rủ thêm bạn,1
45, Quán nhìn Theo cá nhìn ngoài thì đẹp nhưng vào cũng Phù hợp cho tụ Mình chỉ tới uống ko dùng đồ ăn nên k biết thế Đồ uống cũng k co gì nổi Mình tò mò nên gọi bánh Mình cũng có hỏi bạn nhân viên là bánh gì thì bạn ý có tả là giống tiramisu nhưng khi mang ra lại k giống chút Thêm điểm nữa là phục vụ mình ngồi khá lâu và phải ra gọi thì mới có người ra lấy Khi mang đồ uống ra cho mình thì quên mất bánh và phải nhắc,-1
46, Nhà hàng có nhiều món ngon lần nào đến mình cũng phải thưởng thức đến hơn nữa món Thích mấy món hải sản và món tráng miệng,1
47, Đồ uống ngon Phục vụ oke gian quán thoáng mát,1
48, Vị trí gần khu the manor mỹ Khu này người hàn sinh sống nhiều nên xuất hiện rất nhiều nhà hàng dành cho người Khách đến đây cũng chủ yếu người Không gian kiểu Đồ ăn phục vụ tận tình chu Giá có hơi mắc chút nhưng chất lượng tuyệt Sẽ còn ghé qua,1
49, cơm rang không đông ăn chung,-1
50, Mình thấy quán theo phong cách cổ điển mà vô cùng fresh Từ ngoài nhìn vào thì tưởng nhe ngôi nhà vô cùng ấm áp Cây cối bố trí hợp lý đẹppp vào trong vô cùng tĩnh lặng thiết kế đẹp nhất mình từng biết viên thì lịch sự nhanh nhẹn luôn mỉm cười với chúng mìnhhh thì học sinh sinh viên lắm từ là bạn đã có đồ uống vừa ngon vừa mát ạ cũng rất ngon ở quán thì có thể sống ảo ở mọi lúc mọi nơi,1
51, Nhà hàng đậm nét truyền thống văn hóa Việt văn hóa Hà nội làm minh gợi nhớ những ký ức về thời kỳ trước đây đã lâu lắm thật thú vị khi có thể nhìn thấy thấm chí sờ thấy những hình ảnh về Hà nội năm những chiếc bát đĩa chiết yêu cũ kỹ được làm thủ và ấn tượng nhất là món ăn truyền thống của dân Việt được tái hiện lại một cách hết sức ấn nhưng nhà hàng khiến mình không hài lòng lắm về thái độ nhân viênphuc vu hàng và cả về nhân viên trông xe cụ thể như Gọi thứ gì cũng chậm Bé nhân viên xin lỗi anh chị thông ngày lễ mà Nhưng quán đâu có quá tầng kín bàn độ tầng có độ bàn Chạy bàn đông mặt tầm trang fuc tai nghe bộ đàm chuyên nghiệp nhân viên đông nhưng các bạn trẻ có vẻ mệt mắt mỏi Ko còn tinh để nhận ra khách đang Gọi to mấy lần ko fai chạy ra tận nơi Gọi xong lại đợi Nồi lẩu riêu cua đc order từ đầu nhưng mới có Biết là đợi xong món nhắm mới đặt lẩu nhưng từ lúc bảo đặt cũng ngót tiếng Lại đặt nhầm nước riêu cua và đía cái của sườn nhân viên chạy bàn mà cả nhân viên trông xe thật sự cũng làm cho mình cảm thấy k hài Lạ một điều là khi khách rõ ràng đã nói rất lịch nhẹ nhàng dắt xe giúp em cẩn vậy mà nhân viên dắt xe k những k trả lời khách mà khi nhận xe ra xe mình còn có vô vàn vết xước k hề Thật ra chắc đây cũng chỉ là vấn đề nhỏ vs một nhà hàng như nhưng thiết đã kinh doanh dịch vụ và muốn phát triển bền vững thì nên chỉn chu ngay từ những chi tiết nhỏ Mình đến k phải chỉ là để thưởng thức món ăn mà quan trọng còn là cảm giác thoải mái khi đến Hôm nay k phải là lần đầu tiên mình đến nhưng chắc sẽ khó có lần vì k chỉ mình cảm thấy vậy mà ngay cả bạn mình được mình dẫn đến đây cũng thấy thất vọng về thái độ phục vụ của nhân,-1
52, Không bao giờ ngừng yêu tous les jours Mình review nhiều về quán này r nên hnay chỉ nói sơ mấy món chưa xuất hiện trên review của mình thôi Bánh phết chocolate ngon cực lớp bánh giòn làm từ bột bánh phết thêm lớp chocolate vừa đủ k bị ngấy mà ăn rất mê Bánh nhân kem thì ngập kem luôn ý trời ơi kem thơm ngọt vừa cộng với vỏ bánh giòn giòn thích cực Bánh trứng omlette là bánh ăn k hề tanh nhé mà lại thơm thơm bùi bùi Bánh mì nhân cay vs sữa thì khỏi review lại nữa tất nhiên là vẫn ngon như ngày nào,1
53, Ui mình ăn những ngày đầu mới ra tối í xếp hàng dài cả km để mua đc que kem số cũng hên đến lượt còn chứ mấy bạn sau xếp lâu mà đến lượt lại hết giờ không biết quán còn đông k chất kem ăn cũng ngon mỗi tội ngay trước cửa quán là xe rác hơi bất tiện khi đứng chờ cười có anh mua đc que hoàng tráng chạy ra chỗ ng yêu thì oẹt cái rơi ngẩn tỏ tè nhìn hàng ng mà não lòng,0
54, Mấy lần đi qua đều thấy đóng cửa chưa có dịp thử,0
55, Ăn vị ướp công nghiệp hồi đầu còn đặc sắc chứ bg quá bình Nhưng bẩn rất Bẩn từ dao dĩa đến nhà vệ Nhân viên khó Vào quán gọi đồ trả tiền r chẳng lẽ đứng,-1
56, Nhà hàng chủ yếu bằng gỗ nên nhìn kiểu cổ nhưng lại sang trọng nên mình rất thích không gian ở đồ ăn thì khá là ngon nhưng mình không thấy nhà hàng có món gì là thế mạnh của riêng nhà có lẽ thế mạnh của nhà hàng là bia nên không tập trung nhiều vào đồ tuy nhiên mình thích nhà hàng ở phần giá có vị trí vs không gian đẹp và sang trọng nhưng giá cả thì khá là sinh viên nên đi ăn vs bạn bè thì không chịu được giá đó nhưng đi ăn với gia đình thì quá được ngoài ra nhân viên của nhà hàng thì khá chuyên nghiệp và nhanh cũng có gặp bà chủ nhà hàng mình rất có thiện cảm vs cô thiên và phóng nói chung là nhà hàng quá có dịp mình nhất định sẽ quay lại,1
57, Lúc đầu mình mới bước vào quán thấy hơi ngộp vì quán bé nhưng lại rất Sau khi khá vất vả mới kiếm được chỗ ngồi cho người và order luôn kem trái dừa trứ danh của tiệm cùng chai nước suối để chống Kem mang ra khá nhanh và trang trí khá đẹp Và khá to nữa nhưng ăn muỗng đầu tiên thấy kem toàn đá ăn mất Chỉ được mỗi cái dừa bên trong là Nói góp ý tý với quán là nên có nước dừa cho khách uống kèm kem cho đỡ Thêm nữa là kem nên cho thêm sữa bớt nước cho đỡ lạnh vì toàn đá với chả cảm nhận được vị,-1
58, Đây là trước khi ăn lẩu Tối hôm Đi bộ rạc cả Ăn ngan nướng Huyền Anh thần thành của các bạn trẻ đất thổ đu đây mà sau đó đi lạc lên bờ hồ ăn kem Tràng Từ cửa hàng kem đi lên ngã là một pô mà kem chảy tứ ngọt dở siêu mau Ăn một phát có kết quả Đau bụng dã Đã có Tràng Tiền plaza hiiiii siêu sạch đẹp đẽ bóng loáng nhạc giật đùng,0
59, Gọi suất mang về và thịt luộc Không ngon như lời lòng thì ko thịt nướng ko mắm tôm ko suất vậy la quá ít đậu thì không có nem ko như mong,-1
60, Trưa nay nhóm học tiếng Anh đi ăn liên hoan ở Vị Cowboy Jack này nằm trong khuôn viên Mipec Tower nhưng là nhà hàng riêng biệt chứ không nằm trong toà rất dễ tìm Không quán có không rộng lắm nhưng khá sạch trang trí bàn ngồi gần cửa sổ còn có rèm để che Đồ lần nào vào đây cũng bị đói con Bọn mình đi gọi combo có sườn mỳ Ý và Pizza miễn bàn vì quá nhiều phô mai rất thích ăn phô mỳ Ý loại sốt cà chua ngon nhưng loại sốt kem bị ngậy quá nên không thấy có mùi vị gì ngoài vị ngậy của sườn nướng và khoai tây nhưng cá nhân mình thấy sốt của sườn hơi salad Phục nhân viên nhiệt nhanh Giá khoảng nên cũng không phải là đắt chung là sẽ còn quay lại dài dài,1
61, Hình như đây là Cơ sở hai nếu mình k Vị trí gần ngã tư bà triệu hai bà trưng khá bắt Không gian có nhà kính quây và nhiều cây Decor trẻ trug tươi không gian mở không nhiều như cơ sở hai bà trưng nhưng ngồi vẫn cảm giác thoải mái vì nhiều Chất lượng đồ uống vẫn Mình vẫn thích nhất trà đào cam sả và coi nó như một món đặc sản không thể tách rời khi bước chân vào chuỗi coffee Nhân viên phục vụ nhân viên bar không nhiệt tình cho lắm còn phục vụ bàn thì oke niềm nở nhiệt tình thân thiện với Giá cả đã đề giao đông từ trở không quá đắt nhưng khôg Chưa thử bánh và có lẽ sẽ thử vào lần sau vì nghe phản hồi có vẻ tốt,1
62, Quán đậm phong cách ấm sạch Phục vụ tận chu đáo từ lúc vào đến lúc và nhân viên rất khéo gợi ý món cho ăn cực tươi và chất xứng đáng với khoản tiền bỏ Miếng sashimi thì dày ăn ngập miệng sushi cũng vô cùng ngon và tỉ lệ cơm vừa đủ đúng cơm không bị quá nhiều át cả vị cá bên trên như một số nhà hàng các nhà hàng Nhật mình đã ăn thì sashimi và sushi ở đây là ưng Wasabi mài tay tại free trà và đồ tráng các bạn nếu ăn ở Khang nên gọi sashimi và các loại các set mì ramen hay cơm lươn cũng gọi các món ăn vặt khác thì có vẻ hơi chung trải nghiệm ăn của mình ở đây cực tuyệt vời,1
63, Hôm nay trời Hà Nội se mưa Do lâu rồi không ăn kem Tràng Tiền nên mình cùng một người bạn tạt qua làm cái kem ốc Hôm nay có vẻ vắng vừa vào đã có người nhắc tắt máy dắt Vào trong không khí hơi ngột ngạt một toàn một mùi Mình và người bạn mua chiếc ốc quế nhưng có vẻ như bây giờ kem nhanh chảy hơn trước nhưng mùi vị thì vẫn Có điều nhân viên bán hàng không thân thiện cởi Mình mua cái hết đưa mà chỉ trả lại Nếu không có tiền trả lại thì ít ra cũng nói một đây lại chẳng nói năng gì cả lơ đi Khó chịu với cái thái độ,-1
64, Hôm vừa rồi mình và bạn mình có đến đây Cảm giác ban đầu ko được tốt lắm bởi không có nhân viên hướng dẫn chỗ để lúc vào cửa thì có bạn nv đứng ở cửa nhưng chần chờ mãi ko mở cửa cho khách thế là bọn mình lại tự vào thì cũng chẳng chào hỏi gì vậy bạn nv đứng đấy làm Quán có tầng mà nv có vẻ cứ thích bắt khách ngồi tầng cứ kêu là tầng bọn em chưa dọn lúc khác lại kêu tầng bọn em đang Vậy là thế gian quán thì cũng khá decor cũng ko có gì nổi trội nhà hàng mang phong cách đồ Tây mà nv thì có thể nói là quá chán vừa không nhiệt ko thân thiện mà lại trông còn lấc ăn mặc luộm Đồ ăn thì mình và bạn mình gọi thăn bò nướng sốt pho mai với bò bít tết cỡ lớn sốt tiêu Cái bò sốt phô mai ăn thì tạm đc còn bò sốt tiêu đen thì chả có gì đặc sắc đã thế thịt còn hơi Nói chung là đến ăn lần cho chứ ko có ý định quay,-1
